NU_ANO_CENSO;SG_IES;CO_IES;NO_CURSO;TP_ORGANIZACAO_ACADEMICA;TP_REDE;NO_CINE_ROTULO;NO_CINE_AREA_GERAL;NO_CINE_AREA_ESPECIFICA;NO_CINE_AREA_DETALHADA;TP_GRAU_ACADEMICO;IN_GRATUITO;TP_MODALIDADE_ENSINO;TP_NIVEL_ACADEMICO;QT_VG_TOTAL;QT_ING_ENEM;QT_ING_VESTIBULAR;QT_INSCRITO_TOTAL_EAD;QT_VG_TOTAL_EAD;QT_VG_TOTAL_DIURNO;QT_VG_TOTAL_NOTURNO;QT_MAT;QT_MAT_FEM;QT_MAT_MASC;QT_MAT_DIURNO;QT_MAT_NOTURNO;QT_MAT_0_17;QT_MAT_18_24;QT_MAT_25_29;QT_MAT_30_34;QT_MAT_35_39;QT_MAT_40_49;QT_MAT_50_59;QT_MAT_60_MAIS;QT_MAT_BRANCA;QT_MAT_PRETA;QT_MAT_PARDA;QT_MAT_AMARELA;QT_MAT_INDIGENA;QT_MAT_CORND;QT_CONC;QT_CONC_FEM;QT_CONC_MASC;QT_CONC_DIURNO;QT_CONC_NOTURNO;QT_CONC_0_17;QT_CONC_18_24;QT_CONC_25_29;QT_CONC_30_34;QT_CONC_35_39;QT_CONC_40_49;QT_CONC_50_59;QT_CONC_60_MAIS;QT_CONC_BRANCA;QT_CONC_PRETA;QT_CONC_PARDA;QT_CONC_AMARELA;QT_CONC_INDIGENA;QT_CONC_CORND;QT_MAT_NACESTRANG;QT_CONC_NACESTRANG;QT_MAT_DEFICIENTE;QT_CONC_DEFICIENTE;QT_MAT_FINANC;QT_CONC_FINANC;QT_MAT_PROCESCPUBLICA;QT_MAT_PROCESCPRIVADA;QT_MAT_PROCNAOINFORMADA;QT_CONC_PROCESCPUBLICA;QT_CONC_PROCESCPRIVADA;QT_CONC_PROCNAOINFORMADA
2018;UNB;2;ABI - ARTES CÊNICAS;1;1;ABI Artes e humanidades;Programas básicos;Programas básicos;Programas básicos;;1;1;1;52.0;13.0;26.0;0.0;0.0;52.0;0.0;45.0;29.0;16.0;45.0;0.0;2.0;35.0;5.0;1.0;2.0;0.0;0.0;0.0;13.0;9.0;10.0;1.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;25.0;0.0;0.0;0.0;0.0
2018;UNB;2;ABI - ARTES PLÁSTICAS;1;1;ABI Artes e humanidades;Programas básicos;Programas básicos;Programas básicos;;1;1;1;60.0;15.0;23.0;0.0;0.0;60.0;0.0;57.0;36.0;21.0;57.0;0.0;0.0;48.0;3.0;4.0;1.0;0.0;1.0;0.0;20.0;3.0;18.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;37.0;0.0;0.0;0.0;0.0
2018;UNB;2;ABI - CIÊNCIAS SOCIAIS;1;1;ABI Ciências sociais, comunicação e informação;Programas básicos;Programas básicos;Programas básicos;;1;1;1;180.0;44.0;47.0;0.0;0.0;180.0;0.0;165.0;112.0;53.0;165.0;0.0;4.0;142.0;12.0;0.0;3.0;3.0;1.0;0.0;56.0;20.0;59.0;1.0;1.0;28.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;91.0;74.0;0.0;0.0;0.0;0.0
2018;UNB;2;ABI - COMUNICAÇÃO SOCIAL;1;1;ABI Ciências sociais, comunicação e informação;Programas básicos;Programas básicos;Programas básicos;;1;1;1;88.0;24.0;22.0;0.0;0.0;88.0;0.0;79.0;47.0;32.0;79.0;0.0;3.0;71.0;2.0;1.0;0.0;1.0;0.0;1.0;24.0;7.0;36.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41.0;38.0;0.0;0.0;0.0;0.0
2018;UNB;2;ABI - DESIGN;1;1;ABI Artes e humanidades;Programas básicos;Programas básicos;Programas básicos;;1;1;1;40.0;10.0;10.0;0.0;0.0;40.0;0.0;39.0;20.0;19.0;39.0;0.0;0.0;38.0;1.0;0.0;0.0;0.0;0.0;0.0;10.0;1.0;10.0;1.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;25.0;0.0;0.0;0.0;0.0
2018;UNB;2;ABI - ENGENHARIA;1;1;ABI Engenharia, produção e construção;Programas básicos;Programas básicos;Programas básicos;;1;1;1;562.0;135.0;139.0;0.0;0.0;562.0;0.0;527.0;95.0;432.0;527.0;0.0;24.0;480.0;15.0;3.0;2.0;3.0;0.0;0.0;197.0;39.0;198.0;3.0;0.0;90.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;0.0;0.0;0.0;235.0;292.0;0.0;0.0;0.0;0.0
2018;UNB;2;ABI - FILOSOFIA;1;1;ABI Artes e humanidades;Programas básicos;Programas básicos;Programas básicos;;1;1;1;80.0;23.0;20.0;0.0;0.0;80.0;0.0;68.0;30.0;38.0;68.0;0.0;1.0;52.0;4.0;1.0;5.0;4.0;1.0;0.0;14.0;7.0;30.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;44.0;24.0;0.0;0.0;0.0;0.0
2018;UNB;2;ABI - GEOGRAFIA;1;1;ABI Ciências sociais, comunicação e informação;Programas básicos;Programas básicos;Programas básicos;;1;1;1;72.0;17.0;18.0;0.0;0.0;72.0;0.0;62.0;24.0;38.0;62.0;0.0;3.0;55.0;3.0;1.0;0.0;0.0;0.0;0.0;17.0;7.0;25.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.0;27.0;0.0;0.0;0.0;0.0
2018;UNB;2;ABI - HISTÓRIA;1;1;ABI Artes e humanidades;Programas básicos;Programas básicos;Programas básicos;;1;1;1;80.0;19.0;19.0;0.0;0.0;80.0;0.0;71.0;39.0;32.0;71.0;0.0;4.0;60.0;3.0;1.0;3.0;0.0;0.0;0.0;23.0;6.0;32.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.0;39.0;0.0;0.0;0.0;0.0
2018;UNB;2;ABI - LETRAS - LÍNGUA PORTUGUESA;1;1;ABI Artes e humanidades;Programas básicos;Programas básicos;Programas básicos;;1;1;1;60.0;14.0;15.0;0.0;0.0;60.0;0.0;54.0;41.0;13.0;54.0;0.0;0.0;48.0;2.0;1.0;1.0;1.0;1.0;0.0;14.0;4.0;29.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;32.0;22.0;0.0;0.0;0.0;0.0
